Region,Country,Earliest Year,Latest Year,Change (#),Change (%),,Upload
LATIN AMER. & CARIB,Viet Nam,0.66,0.9,0.24,36%,,"['Viet Nam',36],"
NEAR EAST,Bahrain,1.38,2.18,0.8,58%,,"['Bahrain',58],"
NEAR EAST,Cyprus,0.14,1.15,1.01,721%,,"['Cyprus',721],"
NEAR EAST,Iraq,0.54,0.6,0.06,11%,,"['Iraq',11],"
NEAR EAST,Israel,0.98,1.34,0.36,37%,,"['Israel',37],"
NEAR EAST,Jordan,0.95,1.15,0.2,21%,,"['Jordan',21],"
NEAR EAST,Kuwait,1.34,0.7,-0.64,-48%,,"['Kuwait',-48],"
NEAR EAST,Lebanon,0.91,1.09,0.18,20%,,"['Lebanon',20],"
NEAR EAST,Oman,0.72,1.45,0.73,101%,,"['Oman',101],"
NEAR EAST,Qatar,3.06,6.66,3.6,118%,,"['Qatar',118],"
NEAR EAST,Republic of Moldova,1.15,1.29,0.14,12%,,"['Republic of Moldova',12],"
NEAR EAST,Saudi Arabia,0.79,1.04,0.25,32%,,"['Saudi Arabia',32],"
NEAR EAST,Syrian Arab Republic,0.64,1.01,0.37,58%,,"['Syrian Arab Republic',58],"
NEAR EAST,Turkey,0.5,0.86,0.36,72%,,"['Turkey',72],"
NEAR EAST,United Arab Emirates,4.08,4.16,0.08,2%,,"['United Arab Emirates',2],"
NEAR EAST,Yemen,0.16,0.44,0.28,175%,,"['Yemen',175],"
NORTHERN AFRICA,Egypt,0.14,0.89,0.75,536%,,"['Egypt',536],"
NORTHERN AFRICA,Libyan Arab Jamahiriya,0.87,1.1,0.23,26%,,"['Libyan Arab Jamahiriya',26],"
NORTHERN AFRICA,Morocco,0.59,0.89,0.3,51%,,"['Morocco',51],"
NORTHERN AFRICA,Tunisia,0.62,1.62,1,161%,,"['Tunisia',161],"
NORTHERN AMERICA,Canada,1.16,1.34,0.18,16%,,"['Canada',16],"
NORTHERN AMERICA,United States,1.23,1.37,0.14,11%,,"['United States',11],"
OCEANIA,Australia,0.99,1.37,0.38,38%,,"['Australia',38],"
OCEANIA,Cook Islands,0.14,1.23,1.09,779%,,"['Cook Islands',779],"
OCEANIA,Marshall Islands,0.92,0.92,0,0%,,"['Marshall Islands',0],"
OCEANIA,Nigeria,0.7,0.72,0.02,3%,,"['Nigeria',3],"
OCEANIA,Palau,1.55,1.55,0,0%,,"['Palau',0],"
OCEANIA,Papua New Guinea,0.47,0.57,0.1,21%,,"['Papua New Guinea',21],"
OCEANIA,Samoa,0.92,0.92,0,0%,,"['Samoa',0],"
OCEANIA,Tonga,1.35,1.66,0.31,23%,,"['Tonga',23],"
OCEANIA,Vanuatu,0.57,0.59,0.02,4%,,"['Vanuatu',4],"
SUB-SAHARAN AFRICA,Angola,0.19,0.37,0.18,95%,,"['Angola',95],"
SUB-SAHARAN AFRICA,Benin,0.14,0.27,0.13,93%,,"['Benin',93],"
SUB-SAHARAN AFRICA,Botswana,0.73,1.25,0.52,71%,,"['Botswana',71],"
SUB-SAHARAN AFRICA,Burkina Faso,0.28,0.49,0.21,75%,,"['Burkina Faso',75],"
SUB-SAHARAN AFRICA,Burundi,0.35,0.42,0.07,20%,,"['Burundi',20],"
SUB-SAHARAN AFRICA,Cameroon,0.64,0.73,0.09,14%,,"['Cameroon',14],"
SUB-SAHARAN AFRICA,Cape Verde,1.03,1.46,0.43,42%,,"['Cape Verde',42],"
SUB-SAHARAN AFRICA,Central African Republic,0.15,0.36,0.21,140%,,"['Central African Republic',140],"
SUB-SAHARAN AFRICA,Chad,0.06,0.24,0.18,300%,,"['Chad',300],"
SUB-SAHARAN AFRICA,Comoros,0.17,0.86,0.69,406%,,"['Comoros',406],"
SUB-SAHARAN AFRICA,Congo,0.17,0.75,0.58,341%,,"['Congo',341],"
SUB-SAHARAN AFRICA,Cote d'Ivoire,0.31,0.62,0.31,100%,,"['Cote d'Ivoire',100],"
SUB-SAHARAN AFRICA,Djibouti,0.14,0.68,0.54,386%,,"['Djibouti',386],"
SUB-SAHARAN AFRICA,Equatorial Guinea,0.15,0.45,0.3,200%,,"['Equatorial Guinea',200],"
SUB-SAHARAN AFRICA,Eritrea,0.13,0.5,0.37,285%,,"['Eritrea',285],"
SUB-SAHARAN AFRICA,Ethiopia,0.22,0.32,0.1,45%,,"['Ethiopia',45],"
SUB-SAHARAN AFRICA,Gabon,0.43,0.59,0.16,37%,,"['Gabon',37],"
SUB-SAHARAN AFRICA,Ghana,0.24,0.63,0.39,163%,,"['Ghana',163],"
SUB-SAHARAN AFRICA,Kenya,0.54,0.7,0.16,30%,,"['Kenya',30],"
SUB-SAHARAN AFRICA,Lesotho,1.27,1.46,0.19,15%,,"['Lesotho',15],"
SUB-SAHARAN AFRICA,Liberia,0.24,0.63,0.39,163%,,"['Liberia',163],"
SUB-SAHARAN AFRICA,Madagascar,0.77,0.94,0.17,22%,,"['Madagascar',22],"
SUB-SAHARAN AFRICA,Malawi,0.31,0.65,0.34,110%,,"['Malawi',110],"
SUB-SAHARAN AFRICA,Mali,0.15,0.43,0.28,187%,,"['Mali',187],"
SUB-SAHARAN AFRICA,Mauritania,0.13,0.44,0.31,238%,,"['Mauritania',238],"
SUB-SAHARAN AFRICA,Mauritius,0.6,1.22,0.62,103%,,"['Mauritius',103],"
SUB-SAHARAN AFRICA,Meico,0.79,0.96,0.17,22%,,"['Meico',22],"
SUB-SAHARAN AFRICA,Myanmar,1.22,1.23,0.01,1%,,"['Myanmar',1],"
SUB-SAHARAN AFRICA,Namibia,0.84,1.28,0.44,52%,,"['Namibia',52],"
SUB-SAHARAN AFRICA,Niger,0.14,0.34,0.2,143%,,"['Niger',143],"
SUB-SAHARAN AFRICA,Rwanda,0.23,0.75,0.52,226%,,"['Rwanda',226],"
SUB-SAHARAN AFRICA,Sao Tome and Principe,0.86,0.86,0,0%,,"['Sao Tome and Principe',0],"
SUB-SAHARAN AFRICA,Senegal,0.32,0.59,0.27,84%,,"['Senegal',84],"
SUB-SAHARAN AFRICA,Seychelles,2.2,2.2,0,0%,,"['Seychelles',0],"
SUB-SAHARAN AFRICA,South Africa,0.79,1.37,0.58,73%,,"['South Africa',73],"
SUB-SAHARAN AFRICA,South Korea,0.13,1.37,1.24,954%,,"['South Korea',954],"
SUB-SAHARAN AFRICA,Swaziland,0.64,1.05,0.41,64%,,"['Swaziland',64],"
SUB-SAHARAN AFRICA,Togo,0.13,0.39,0.26,200%,,"['Togo',200],"
SUB-SAHARAN AFRICA,Uganda,0.38,0.78,0.4,105%,,"['Uganda',105],"
SUB-SAHARAN AFRICA,Zambia,0.46,0.46,0,0%,,"['Zambia',0],"
SUB-SAHARAN AFRICA,Zimbabwe,0.48,0.85,0.37,77%,,"['Zimbabwe',77],"
WESTERN EUROPE,Austria,0.87,1.2,0.33,38%,,"['Austria',38],"
WESTERN EUROPE,Belgium,0.96,1.3,0.34,35%,,"['Belgium',35],"
WESTERN EUROPE,Denmark,0.14,1.38,1.24,886%,,"['Denmark',886],"
WESTERN EUROPE,France,1.15,1.25,0.1,9%,,"['France',9],"
WESTERN EUROPE,Germany,0.75,0.93,0.18,24%,,"['Germany',24],"
WESTERN EUROPE,Greece,0.94,1.02,0.08,9%,,"['Greece',9],"
WESTERN EUROPE,Iceland,1.32,1.72,0.4,30%,,"['Iceland',30],"
WESTERN EUROPE,Ireland,0.87,1.03,0.16,18%,,"['Ireland',18],"
WESTERN EUROPE,Italy,0.94,1.42,0.48,51%,,"['Italy',51],"
WESTERN EUROPE,Liechtenstein,0.37,0.55,0.18,49%,,"['Liechtenstein',49],"
WESTERN EUROPE,Macao,0.07,1.13,1.06,1514%,,"['Macao',1514],"
WESTERN EUROPE,Malta,0.78,1.32,0.54,69%,,"['Malta',69],"
WESTERN EUROPE,Netherlands,0.82,1.1,0.28,34%,,"['Netherlands',34],"
WESTERN EUROPE,Norway,1.19,1.5,0.31,26%,,"['Norway',26],"
WESTERN EUROPE,Portugal,1.18,1.18,0,0%,,"['Portugal',0],"
WESTERN EUROPE,San Marino,1.38,1.38,0,0%,,"['San Marino',0],"
WESTERN EUROPE,Spain,1.07,1.22,0.15,14%,,"['Spain',14],"
WESTERN EUROPE,Sweden,1.19,1.56,0.37,31%,,"['Sweden',31],"
WESTERN EUROPE,Switzerland,0.53,1,0.47,89%,,"['Switzerland',89],"
WESTERN EUROPE,United Kingdom,0.93,1.35,0.42,45%,,"['United Kingdom',45],"
WESTERN EUROPE,United Republic of Tanzania,0.18,0.54,0.36,200%,,"['United Republic of Tanzania',200],"
